date,day_of_week,time,restaurant,entree,cuisine,location,waste_type,quantity_lb,servings,unit_cost_usd,est_cost_usd,disposal_method,reason,storage_temp_F,safe_temp_range_ok,cuisine_meta,capacity,seating_type,avg_daily_orders,has_sustainability_program,zip_code,standard_portion_oz,expected_servings,avg_unit_cost_usd,order_id,time_delivery,courier_id,distance_km,delivery_time_min,portion_size,delivered,delayed,delivery_rating,food_quality_rating,feedback_text,waste_per_serving_lb,waste_pct_of_prepared,avg_rating
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1003,19:47,CR-18,2.68,10.0,medium,True,False,3.0,5.0,Food arrived cold and was late.,0.498,,4.0
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1003,19:47,CR-18,2.68,10.0,medium,True,False,1.0,2.0,Food arrived cold and was late.,0.498,,1.5
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1009,23:42,CR-28,6.44,21.0,medium,True,False,3.0,5.0,Food arrived cold and was late.,0.498,,4.0
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1009,23:42,CR-28,6.44,21.0,medium,True,False,1.0,2.0,Food arrived cold and was late.,0.498,,1.5
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1044,05:01,CR-29,7.13,23.0,small,True,False,3.0,5.0,Food arrived cold and was late.,0.498,,4.0
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1044,05:01,CR-29,7.13,23.0,small,True,False,1.0,2.0,Food arrived cold and was late.,0.498,,1.5
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1066,05:04,CR-13,6.22,6.0,small,True,False,3.0,5.0,Food arrived cold and was late.,0.498,,4.0
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1066,05:04,CR-13,6.22,6.0,small,True,False,1.0,2.0,Food arrived cold and was late.,0.498,,1.5
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1082,18:16,CR-5,8.45,14.0,medium,True,False,3.0,5.0,Food arrived cold and was late.,0.498,,4.0
2025-10-07,Tuesday,06:24,Eastside Deli,Veggie Grain Bowl,New American,"Raleigh, Zone-4",Spoilage,6.48,13,9.36,60.65,Donation,Batch cooked too much,146.0,False,Seafood,31,Counter,159,True,27606,16,3,6.06,ORD-1082,18:16,CR-5,8.45,14.0,medium,True,False,1.0,2.0,Food arrived cold and was late.,0.498,,1.5
